problem,source,category,answer,solution
یک مهمانی متشکل از یک مرد و همسر او، 2 پسرشان و به همراه همسرانشان که هرکدام دارای 4 فرزند دارند میباشد. چند نفر در این مهمانی حضور دارند؟,sampad7,Counting_and_Probability,14 نفر,
خانمی در سال 1393 در سن 42 سالگی فوت کرده است. اگر وی 2 برابر برادر دوقلوی خود زندگی کرده باشد و پس از 2 سال از فوت برادرش، ازدواج کرده باشد، او در چه سالی ازدواج کرده؟,sampad7,Algebra,سال 1374,
" یک میز دارای 4 پایه به طول های 22, 20.5, 20, 21 میباشد. کمترین میزانی که باید از مجموع پایه ها کوتاه شود تا هم اندازه شوند، چند میلیمتر است؟",sampad7,Algebra,35 میلیمتر,
کارگری هر روز پنجاه هزار تومان به ازای کاری که انجام میداد، دریافت میکرد. به تازگی حقوق ماهیانه او به یک میلیون و هشت صد هزار تومان (شش هزار تومان برای هر ساعت)افزایش یافته. اگر او در هر ماه، 25 روز را کار کند، روزانه چند ساعت کار میکند؟,sampad7,Algebra,12 ساعت,
اگر دو قطر مربع را رسم کنیم، چند مثلت کوچک و بزرگ تشکیل خواهد شد؟,sampad7,Geometry,8 مثلث,
پنج درصد از 2000 معادل ده درصد از چه عددی است؟,sampad7,Algebra,1000,
عقربه های یک ساعت در آینه دیده میشوند، با توجه به جهتی که قرار گرفته اند، ساعت در آینه 2:35 بنظر میرسد. ساعت واقعا چند است؟,sampad7,Algebra,9:25,
چه عددی میتواند جایگزین X در معادله روبرو بشود؟ (X/12.5)=(8/X),sampad7,Algebra,10,
حاصل عبارت رو به رو را بیابید: (4+2*7-6)/(9+1*6-3),sampad7,Algebra,1,
در وسط یک مربع با مساحت 90 سانتیمتر مربع، حفره ای دایره شکل به شعاع 3 سانتیمتر ایجاد میکنیم. اگر عدد پی برابر با 3 فرض شود، مساحت فضای باقی مانده چند سانتیمتر مربع میباشد؟,sampad7,Geometry,63,
خانم کوثری 20 درصد تخفیف برای قبض 186.50 تومانی دریافت کرده است. او چه مبلغی را باید بپردازد؟,sampad7,Algebra,149.2,
در دنباله ی [‭5 3 2 7 3 2 9 3 2 6 2 8 3 2‬] چند بار عدد 2 پس از عدد 3 آمده است؟,sampad7,Sequence,4 مرتبه,
قطاری که با سرعت 90 کیلومتر در ساعت حرکت میکند، به طونلی با طول 3.5 کیلومتر وارد میشود. اگر طول قطار 0.25 کیلومتر باشد، از لحظه ورود قطار به تونل تا لحظه خروج کامل قطار، چند دقیقه طول می کشد؟,sampad7,Algebra,2.5 دقیقه,
هفتمین عدد یک زنجیره عددی، عدد 31 میباشد. در این زنجیره، هر یک از اعداد بعد از اولین عدد، 4 واحد کمتر از عدد قبل از خود هستند. چهارمین عدد این زنجیره، چند است؟,sampad7,Algebra,43,
"كلاس ""الف"" 2 برابر كلاس ""ب"" دانش آموز دارد. پس از اضافه كردن 20 دانش آموز به كلاس ""الف"" و 30 دانش آموز به كلاس ""ب""، تعداد كل دانش آموزان هر دو كلاس 140 نفر شده است. در ابتدا، تعداد دانش آموزان كلاس ""الف"" چند نفر بوده است؟",sampad7,Algebra,60 دانش آموز,
در دنباله ی [5-9-?-17] به جای  علامت سوال (?)، چه عددی باید قرار بگیرد؟,sampad7,Sequence,13,
در دنباله ی [25-22-19-?] به جای (?)، چه عددی باید قرار بگیرد؟,sampad7,Sequence,16,\+ 3
در دنباله ی [81-?-9-3] به جای (?)، چه عددی باید قرار بگیرد؟,sampad7,Sequence,27,*3
در دنباله ی [43-49-?-61] به جای (?)، چه عددی باید قرار بگیرد؟,sampad7,Sequence,55,-6
در دنباله ی [36-72-?-9] به جای (?)، چه عددی باید قرار بگیرد؟,sampad7,Sequence,18,*2
در دنباله ی [8-?-32-64] به جای (?)، چه عددی باید قرار بگیرد؟,sampad7,Sequence,16,*2
در دنباله ی [84-64-?-24] به جای (?)، چه عددی باید قرار بگیرد؟,sampad7,Sequence,44,-20
در دنباله ی [125-625-?-5] به جای (?)، چه عددی باید قرار بگیرد؟,sampad7,Sequence,25,*5
"در دنباله داده شده، ابتدا تفاصل کوچک ترین و بزرگ ترین عدد را تعیین کرده، سپس اختلاف این تفاضل را از مقدار کوچک تر دو عدد دیگر مشخص کنید: [7, 2, 9, 6]",sampad7,Sequence,1,
"در دنباله داده شده، ابتدا تفاصل کوچک ترین و بزرگ ترین عدد را تعیین کرده، سپس اختلاف این تفاضل را از مقدار کوچک تر دو عدد دیگر مشخص کنید: [8, 7, 4, 6]",sampad7,Sequence,2,
"در دنباله داده شده، ابتدا تفاصل کوچک ترین و بزرگ ترین عدد را تعیین کرده، سپس اختلاف این تفاضل را از مقدار کوچک تر دو عدد دیگر مشخص کنید: [5, 1, 3, 9]",sampad7,Sequence,5,
"در دنباله داده شده، ابتدا تفاصل کوچک ترین و بزرگ ترین عدد را تعیین کرده، سپس اختلاف این تفاضل را از مقدار بزرگ تر دو عدد دیگر مشخص کنید: [1, 7, 0, 5]",sampad7,Sequence,2,
"در دنباله داده شده، ابتدا تفاصل کوچک ترین و بزرگ ترین عدد را تعیین کرده، سپس اختلاف این تفاضل را از مقدار بزرگ تر دو عدد دیگر مشخص کنید: [5, 0, 6, 2]",sampad7,Sequence,1,
"در دنباله داده شده، ابتدا تفاصل کوچک ترین و بزرگ ترین عدد را تعیین کرده، سپس اختلاف این تفاضل را از مقدار بزرگ تر دو عدد دیگر مشخص کنید: [4, 5, 6, 7]",sampad7,Sequence,3,
"در دنباله داده شده، ابتدا تفاصل کوچک ترین و بزرگ ترین عدد را تعیین کرده، سپس اختلاف این تفاضل را از کوچک  ترین عدد مجموعه مشخص کنید: [4, 8, 7, 2]",sampad7,Sequence,4,
"در دنباله داده شده، ابتدا تفاصل کوچک ترین و بزرگ ترین عدد را تعیین کرده، سپس اختلاف این تفاضل را از کوچک  ترین عدد مجموعه مشخص کنید: [2, 5, 9, 0]",sampad7,Sequence,9,
"در دنباله داده شده، ابتدا تفاصل کوچک ترین و بزرگ ترین عدد را تعیین کرده، سپس اختلاف این تفاضل را از کوچک  ترین عدد مجموعه مشخص کنید: [6, 4, 7, 2]",sampad7,Sequence,3,
"در دنباله داده شده، ابتدا کوچک ترین و بزرگ ترین عدد را حذف کرده، سپس اختلاف تفاضل دو عدد باقی مانده در مجموعه را مشخص کنید: [5, 8, 3, 7]",sampad7,Sequence,2,
"در دنباله داده شده، ابتدا کوچک ترین و بزرگ ترین عدد را حذف کرده، سپس اختلاف تفاضل دو عدد باقی مانده در مجموعه را مشخص کنید: [1, 9, 2, 7]",sampad7,Sequence,5,
"در دنباله داده شده، ابتدا کوچک ترین و بزرگ ترین عدد را حذف کرده، سپس اختلاف تفاضل دو عدد باقی مانده در مجموعه را مشخص کنید: [5, 2, 6, 1]",sampad7,Sequence,3,
"در دنباله داده شده، ابتدا دو عدد بزرگتر و دو عدد كوچكتر عدد را مشخص كنيد، سپس تعيين كنيد كدام يك از اين چهار عدد، فاصله كمتري با عدد پنجم دارد: [9, 7, 4, 2, 3]",sampad7,Sequence,3,
"در دنباله داده شده، ابتدا دو عدد بزرگتر و دو عدد كوچكتر عدد را مشخص كنيد، سپس تعيين كنيد كدام يك از اين چهار عدد، فاصله كمتري با عدد پنجم دارد: [8, 2, 6, 7, 4]",sampad7,Sequence,7,
"در دنباله داده شده، ابتدا دو عدد بزرگتر و دو عدد كوچكتر عدد را مشخص كنيد، سپس تعيين كنيد كدام يك از اين چهار عدد، فاصله كمتري با عدد پنجم دارد: [4, 5, 1, 7, 2]",sampad7,Sequence,5,
"در دنباله داده شده، ابتدا دو عدد بزرگتر و دو عدد كوچكتر عدد را مشخص كنيد، سپس تعيين كنيد كدام يك از اين چهار عدد، فاصله كمتري با عدد پنجم دارد: [1, 3, 5, 6, 2]",sampad7,Sequence,2,
"در دنباله داده شده، ابتدا دو عدد بزرگتر و دو عدد كوچكتر عدد را مشخص كنيد، سپس تعيين كنيد كدام يك از اين چهار عدد، فاصله كمتري با عدد پنجم دارد: [7, 4, 2, 9, 1]",sampad7,Sequence,2,
"در دنباله داده شده، ابتدا دو عدد بزرگتر و دو عدد كوچكتر عدد را مشخص كنيد، سپس تعيين كنيد كدام يك از اين چهار عدد، فاصله بیشتری با عدد پنجم دارد: [8, 1, 3, 4, 6]",sampad7,Sequence,8,
"در دنباله داده شده، ابتدا دو عدد بزرگتر و دو عدد كوچكتر عدد را مشخص كنيد، سپس تعيين كنيد كدام يك از اين چهار عدد، فاصله بیشتری با عدد پنجم دارد: [1, 5, 4, 8, 7]",sampad7,Sequence,1,
"در دنباله داده شده، ابتدا دو عدد بزرگتر و دو عدد كوچكتر عدد را مشخص كنيد، سپس تعيين كنيد كدام يك از اين چهار عدد، فاصله بیشتری با عدد پنجم دارد: [8, 7, 5, 1, 3]",sampad7,Sequence,1,
"در دنباله داده شده، ابتدا دو عدد بزرگتر و دو عدد كوچكتر عدد را مشخص كنيد، سپس تعيين كنيد كدام يك از اين چهار عدد، فاصله بیشتری با عدد پنجم دارد: [5, 6, 2, 7, 3]",sampad7,Sequence,2,
"در دنباله داده شده، ابتدا دو عدد بزرگتر و دو عدد كوچكتر عدد را مشخص كنيد، سپس تعيين كنيد كدام يك از اين چهار عدد، فاصله بیشتری با عدد پنجم دارد: [1, 5, 4, 2, 9]",sampad7,Sequence,9,
"از تقاطع چهار خط [y=1401x+3, y=-2022x-3, y=3x-1401, y=3x+2022] چند مثلث ایجاد میشود؟",sampad10,Geometry,2 مثلث,
بزرگترین هرمی که می تواند به طور کامل در یک استخر به طول 20 متر و عرض 12 متر و عمق 4 متر ساخته شود را در نظر بگیرید. حداکثر چه تعداد هرم با حجم این هرم میتوان درون این استخر ساخت؟,sampad10,Geometry,3 تا,
"سه خط به معادله های [y=ax+b, y=cx+d, y=ex+f] تشکیل یک مثلث به مساحت 1 واحد داده اند. مساحت مثلثی که از سه خط به معادله های [y=ax+2b, y=cx+2d, y=ex+2f] به دست می آید، چند واحد است؟",sampad10,Geometry,4 واحد,
امیرحسین 11 تکه کاغذ روی میز شماره ی 1 دارد. او تکه کاغذ ها را به نوبت از میز شماره ی 1 به میز شماره ی 2 منتقل میکند. در نوبت های زوج، امیرحسین تکه کاغذی را که در حال جابجا شدن است، نصف میکند. بنابراین در انتها 16 تکه کاغذ روی میز شماره 2 دارد. برای انتقال تکه کاغذ ها از میز 2 به میز 3 و سپس از میز 3 به میز 4، امیرحسین همین روش را تکرار میکند. او در پایان روی میز شماره ی 4 چند تکه کاغذ دارد؟,sampad10,Algebra,36 کاغذ,
"یک پرتو نور از نقطه ی x=2, y=7 به نقطه ی 3 بر روی محور y ها می تابانیم. هردو محور x ها و y ها همانند آینه عمل میکنند. پس از دومین بازتاب، پرتو نور با چه شیبی ادامه ی مسیر خواهد داد؟",sampad10,Algebra,2,
با 30 مکعب تو پر به ضلع 1 سانتی متر، چند مکعب مستطیل تو پر متفاوت با حجم 30 سانتی متر مکعب میتوان ساخت؟,sampad10,Geometry,6,"(2, 3, 5), (1, 3, 10), (1, 5, 6), (1, 2, 15), (1, 1, 30)"
هر یک از اعداد 1 تا 100 را با یکی از دو رنگ آبی و قرمز، رنگ آمیزی میکنیم. میدانیم هیچ 7 عدد متوالی ای، آبی رنگ نمیباشند. حداقل چند عدد را قرمز کرده ایم؟,sampad10,Counting_and_Probability,14,
در یک گروه از مسابقات فوتبال، 4 تیم وجود دارند که هر یک با سه تیم دیگر گروه مسابقه میدهند. اگر نتیجه ی بازی تساوی بود، هرکدام، یک امتیاز کسب میکنند. اگر نتیجه تساوی نباشد، تیم برنده 3 امتیاز و تیم بازنده 0 امتیاز دریافت خواهند کرد. در پایان مسابقات، مجموع امتیازات هر 4 تیم، چند عدد مختلف میتواند باشد؟,sampad10,Counting_and_Probability,7,
مریم یک عدد دو رقمی به تصادف انتخاب کرده است. احتمال اینکه حاصل ضرب ارقام عددی زوج باشد، چقدر است؟,sampad10,Counting_and_Probability,13/18,
در یک آزمون ریاضی، 30 سوال طراحی شده است. هر پاسخ صحیح دارای 4 امتیاز مثبت و هر پاسخ اشتباه، دارای 2 امتیاز منفی است و پرسش بدون پاسخ، امتیازی ندارد. نسیم در این آزمون، امتیاز 46 را کسب کرده است. او حداکثر به چند پرسش پاسخ داده است؟,sampad10,Counting_and_Probability,28,
اگر در پرتاب یک تاس، بدانیم که عدد رو شده، شمارنده ی عدد 6 نمیباشد، در این صورت تعداد کل پیشآمد ها برابر با چند است؟,sampad10,Counting_and_Probability,4,
مریم عدد های 1 تا 25 را در دو دسته ی جدا از هم نوشته است(هر عدد فقط یکبار نوشته شده است). او سپس چندتا از این اعداد را حذف کرد به گونه ای که حاصل ضرب عدد های هر دسته با دسته دیگر برابر شود. مریم حداقل چند عدد را حذف کرده است؟,sampad10,Algebra,5,
بکا دقیقاً سه رقم دارد: 2، 3 و 5. به چند عدد متمایز با استفاده از یک یا چند رقم می تواند برسد؟,MATH,Algebra,15,
به چهار برابر یک عدد صحیح، پنج افزوده می‌شود تا نتیجه ای برابر با 277 بگیریم. عدد صحیح مورد نظر چیست؟,MATH,Algebra,68,
فاصله بین دو شهر روی نقشه 4 سانتی متر است. اگر مقیاس 0.5 سانتی متر به 1 کیلومتر باشد، چند کیلومتر از هم دور هستند؟,MATH,Algebra,8,
مقدار عبارت رو به رو را بدست بیاورید: (4+12) - (4×12),MATH,Algebra,32,
میانگین مصرف شیرینی در تمام طول زندگی امریکایی ها 1483 پوند است. با فرض اینکه 1 سال معادل 52 هفته است و میانگین عمر یک امریکایی 75 سال است، میانگین مصرف هفتگی چند پوند شیرینی برای امریکایی ها است؟ پاسخ خود را به صورت اعشاری با دقت دو رقم اعشاری بیان کنید.,MATH,Algebra,0.38,
کوچکترین عدد سه‌رقمی به فرم aaa که بر 9 بخش پذیر است چیست؟ (در اینجا، a بیانگر یک رقم است),MATH,Algebra,333,
"در ساعت 2:30 بعد از ظهر در حین سفر طولانی، بابی از پدر و مادرش می پرسد: ""آیا رسیدیم؟"". مادر او پاسخ می‌دهد: ""ما تا 7200 ثانیه دیگر به مقصد خواهیم رسید"". اگر مادر بابی درست می گوید، ساعت چند بعد از ظهر به مقصد خواهند رسید؟",MATH,Algebra,4:30,
جینا پنج جفت جوراب سفید، سه جفت جوراب مشکی و دو جفت جوراب قرمز دارد. چه درصدی از جوراب‌های او قرمز هستند؟,MATH,Algebra,20%,
تفاوت مثبت بین دو عدد دو به توان پنج و پنج به توان دو چقدر میباشد؟,MATH,Algebra,7,
برای چند عدد دو رقمی مثبت، حاصلضرب ارقام برابر با 12 است؟,MATH,Algebra,4,
کوچک ترین عدد صحیح مثبتی که بزرگتر از 1 است و نسبت به حاصل ضرب اعداد صحیح مثبت 1 تا 20 اول میباشد را پیدا کنید. تذکر: دو عددنسبت به هم اول اند، اگر بزرگ ترین مقسوم علیه مشترک آنها برابر با 1 باشد.,MATH,Algebra,23,
تعداد اعداد چهاررقمی کمتر از 8000 و بزرگتر از 2000 چقدر است؟,MATH,Algebra,5999,
"از اعداد روبرو چند عدد شمارنده ی 34 یا بخش پذیر بر 7 هستند؟ 1, 2, 3, 4, 8, 14, 17, 29, 56, 91 ",MATH,Algebra,6,
عدد صحیح مثبت سه رقمی N دارای یک رقم برابر با صفر است. احتمال بخش پذیر بودن N بر 4 چند است؟ جواب خود را به عنوان یک عدد اعشاری بیان کنید.,MATH,Algebra,0.5,
طول دو ضلع مخالف یک مربع 40% کاهش می یابد در حالی که طول دو ضلع دیگر 50% افزایش می یابد و یک مستطیل تشکیل می دهد. درصد کاهش مساحت مربع چقدر است؟,MATH,Algebra,10 درصد,
یک تصویر به ابعاد 5 اینچ در 7 اینچ بر روی یک تکه کاغذ قرمز مستطیلی قرار می گیرد به طوری که هر یک از چهار طرف تصویر یک حاشیه ی قرمز به عرض 0.5 اینچ دیده می شود. مساحت بخش قرمز را به واحد اینچ مربع حساب کنید.,MATH,Algebra,13 اینچ مربع,
اگر هر 1/2 اینچ در نقشه نمایانگر 20 مایل باشد، فاصله‌ی چند اینچی در نقشه بین دو شهر که فاصله‌ی واقعی آن‌ها 120 مایل است وجود دارد؟,MATH,Algebra,3,
شعاع یک دایره 2 اینچ است. با دو برابر کردن شعاع، مساحت به چند اینچ مربع افزایش می‌یابد؟ جواب خود را با فرض عدد بی برابر با 3 بیان کنید.,MATH,Algebra,36,
ضرب سه عدد صحیح متوالی 120 است. این حاصل تقسیم بر میانگین آن سه عدد برابر با 24 است. بزرگترین عدد از آن سه عدد صحیح متوالی چیست؟,MATH,Algebra,6,
یک شش ضلعی منظم می تواند به شش مثلث مساوی الساقین تقسیم شود. اگر محیط یکی از این مثلث ها ۲۱ اینچ باشد، محیط شش ضلعی منظم چند اینچ است؟,MATH,Algebra,42,
تعداد مقسوم علیه های صحیح عدد 7 چقدر است؟,MATH,Algebra,4,
عدد 563.5097 را به نزدیک ترین عدد صحیح گرد کنید.,MATH,Algebra,564,
چند عدد صحیح بین 99 و 999 وجود دارد که دقیقاً یک رقم 0 دارند؟,MATH,Algebra,162,
در کلاسی 11 ردیف صندلی وجود دارد، هر ردیف دارای 11 صندلی است. صندلی ها در هر ردیف از شماره 1 تا 11 شماره گذاری شده اند. چند صندلی با شماره ی فرد وجود دارد؟,MATH,Algebra,66,
چند عدد مربع کامل و فرد بین 5 و 211 وجود دارد؟,MATH,Algebra,6,
"قفل یک چمدان 4 دایره دارد که هر یک از اعداد 0, 1, ..., 9 را بر روی خود نمایش میدهند. اگر بدانیم هر چهار رقم متفاوت میباشند، چند تنظیم مختلف برای رمز قفل امکان پذیر است؟",MATH,Algebra,5040,
اگر f(x) یک چندجمله ای از درجه 3 باشد و g(x) یک چندجمله ای از درجه 5 باشد، آنگاه چندجمله ای 2f(x) + 4g(x) از درجه چند میباشد؟,MATH,Algebra,5,
جمع 5 عدد صحیح زوج پشت سر هم، 4 عدد کمتر از مجموع 8 عدد صحیح فرد پشت سر هم با شروع از 1 است. کوچکترین  عدد از این اعداد زوج چیست؟,MATH,Algebra,8,
مقدار 50% از200% از عدد 10 چیست؟,MATH,Algebra,10,
در دنباله ی اعداد فرد 1، 3، 5، 7، …، عبارت 2003ام چیست؟,MATH,Algebra,4005,
قدر مطلق تفاضل بین مربع دو عدد فرد متوالی 128 است. حاصلضرب این دو عدد چیست؟,MATH,Algebra,1023,"31, 33"
امی و بتی در مجموع، 20 سیب دارند. تعداد سیب های امی سه برابر تعداد سیب های بتی میباشد. امی از بتی چند سیب بیشتر دارد؟,MATH,Algebra,10,
طول یک مستطیل 4 برابر عرض آن است. محیط آن 100 سانتی متر است. مساحت این مستطیل چند سانتی متر مربع است؟,MATH,Algebra,400,
مقدار عبارت 123123 تقسیم بر 1001 چیست؟,MATH,Algebra,123,
ویلیام با سرعت ثابت 8 مایل در ساعت دویده است. با دویدن به این سرعت ثابت، ویلیام 75 ثانیه طول کشیده است تا از خانه اش به مدرسه برسد. ویلیام چند مایل دویده است؟ جواب را تا دو رقم اعشار بیان کنید.,MATH,Algebra,0.17,
اگر چهارمین عضو یک دنباله ی حسابی برابر با 200 باشد و هشتمین عضو برابر با 500 باشد، ششمین عضو چه مقداری است؟,MATH,Algebra,350,
مجموع چهار عدد صحیح متوالی برابر با 22 است. اگر هر یک از این اعداد را 2 واحد افزایش دهیم و سپس در 20 ضرب کنیم، مجموع مجموعه اعداد جدید چند میباشد؟,MATH,Algebra,600,
در دمای ثابت، فشار نمونه ای از گاز با حجم آن رابطه عکس دارد. مقداری از این گاز را در یک کانتینر 3.67 لیتری با فشار 4 کیلوپاسکال داریم. اگرتمامی آن را به یک کانتینر 1.835 لیتری با همان دما منتقل کنم، فشار در کانتینر جدید به چند کیلوپاسکال خواهد رسید؟,MATH,Algebra,8,
جمع 5 عدد صحیح زوج پشت سر هم، 4 واحد کمتر از مجموع 8 عدد صحیح فرد پشت سر هم با شروع از 1 است. کوچکترین عدد از این مجموعه اعداد زوج چیست؟,MATH,Algebra,8,
اجازه دهید f(x) و g(x) توابع زوج باشند. f(x)g(x) تابعی زوج،است یا فرد یا هیچ کدام؟ برای زوج، عدد 2 و برای فرد، عدد 1 و برای هیچ کدام، عدد 0 را وارد کنید.,MATH,Algebra,2,
کیتی لیستی از اعداد حقیقی دارد به طوری که مجموع اعداد موجود در لیست برابر با مجموع مربعات اعداد موجود در لیست است. بزرگترین مقدار ممکن برای میانگین حسابی اعداد او را محاسبه کنید.,MATH,Algebra,1,
تابع f یک تابع خطی با شرط f(6)−f(2)=12 است. مقدار f(12)−f(2) را محاسبه کنید.,MATH,Algebra,30,
یک منشور شش ضلعی چند ضلع دارد؟,MATH,Geometry,18,
مثلث △ABC دارای اضلاع به طول 6، 8 و 10 است. طول هر یک از اضلاع آن را به اندازه 50% افزایش میدهیم، مساحت مثلت جدید را محاسبه کنید.,MATH,Geometry,54,
 یک منشور هشت ضلعی چند ضلع دارد؟,MATH,Geometry,24,
 لوله ای با قطر داخلی 12 اینچ به ارتفاع 4 فوت مقدار X آب ذخیره میکند. چند لوله استوانه‌ای همسان و به ارتفاع 4 فوت با قطر داخلی 2 اینچ برای نگهداری همان مقدار X آب نیاز است؟,MATH,Geometry,36,
"اگر تصویر نقطه (4, 3) به ازای محور x گرفته شود، فاصله نقطه و تصویر آن چقدر است؟",MATH,Geometry,6,
نسبت دو زاویه ی داخلی یک متوازی الاضلاع 4:5 است. مقدار زاویه بررگتر، چند درجه است؟,MATH,Geometry,100,
حجم یک مکعب برابر با 0.027 متر مکعب است. مساحت سطح آن چند متر مربع است؟,MATH,Geometry,0.54,
مثلث ABC همنهشت با مثلث XYZ است و طول ضلع AB برابر با 4 واحد، طول ضلع BC برابر با 6 واحد و طول ضلع XY برابر با 14 واحد است. اندازه ضلع YZ چقدر است؟,MATH,Geometry,21,
در مثلث ABC، نقطه ی D روی بخش BC قرار دارد، اندازه ی زاویه BAC برابر با 40 درجه است و مثلث ABD نسبت به بخش AD از مثلث ACD قرینه است. اندازه ی زاویه B چند درجه است؟,MATH,Geometry,70,
یک استخر مستطیل شکل، 6 متر عرض، 12 متر طول و 4 متر عمق دارد. اگر استخر با آب نیمه پر شود، حجم آب موجود در استخر چند متر مکعب است؟,MATH,Geometry,144,
حجم و مساحت یک کره از نظر عددی و صرف نظر از واحد، باهم برابر اند. شعاع کره را محاسبه کنید.,MATH,Geometry,3,
در دایره با مرکز O و قطرهای AC و BD، زاویه AOD اندازه اش 54 درجه است. اندازه ی زاویه AOB چند درجه است؟,MATH,Geometry,126,
یک مخزن آب به شکل یک استوانه ی دایره ای دارای شعاع پایه ی 30 متر و حجم 2700π متر مکعب است. ارتفاع مخزن چند متر است؟,MATH,Geometry,3,
مساحت سطح یک مکعب 600 اینچ مربع است. اگر طول اضلاع مکعب را دو برابر کنیم، حجم مکعب جدید چند اینچ مکعب خواهد شد؟,MATH,Geometry,8000,
یک مکعب دارای حجم 343 سانتی متر مکعب است. یک مکعب دیگر در اختیار داریم که اضلاع آن، سه برابر مکعب اول است.. اختلاف مثبت حجم مکعب دوم و حجم مکعب اول چند سانتی متر مکعب است؟,MATH,Geometry,8918,
حجم هرم مربعی با پایه ای که طول ضلع آن 20 متر است داریم. اگر ارتفاع هرم 27 متر باشد، حجم آن چند متر مربع است؟,MATH,Geometry,3600,
یک استوانه دایره ای با شعاع 2 اینچ و ارتفاع 1 اینچ حجم مشابه یک استوانه دایره ای دیگر دارد. شعاع استوانه دوم 1 اینچ است. ارتفاع استوانه دوم چند اینچ است؟,MATH,Geometry,4,
زاویه تند یک متوازی الاضلاع به اندازه 40 درجه میباشد. اندازه هر زاویه ی باز در آن چقدر میباشد؟,MATH,Geometry,140,
یک مکعب با ضلع 2 سانتی متر داریم، اگر طول اضلاع  آن را به اندازه ای افزایش دهیم که حجم آن 19 سانتی متر مکعب افزایش یابد، طول هر ضلع آن اکنون چند سانتی متر است؟,MATH,Geometry,3,
در یک مثلث،  دو زاویه‌ی داخلی آن به اندازه‌های 63 و 78 درجه می باشند. میانگین اندازه ی سه زاویه خارجی مثلت چند درجه است؟,MATH,Geometry,120,
اندازه یک زاویه داخلی در یک هشت ضلعی منتظم، چند درجه از اندازه ی یک زاویه ی داخلی در یک شش ضلعی منتظم بیشتر است؟,MATH,Geometry,15,
دو ضلع مثلث هر کدام به طول 8 واحد هستند. اگر طول ضلع سوم عدد صحیح باشد، بزرگترین مقدار ممکن برای محیط مثلث چند واحد است؟,MATH,Geometry,31,
یک مثلث دو ضلع به طول های  1 و 3 دارد. طول ضلع سوم یک عدد صحیح است. طول ضلع سوم را بدست آورید.,MATH,Geometry,3,
دو ضلع یک مثلث متساوی الساقین به طول 15 و 10 سانتی متر هستند. بزرگترین محیط ممکن این مثلث را برحسب سانتی متر بدست آورید.,MATH,Geometry,40,
مساحت مثلث با اضلاع 5، 5 و 6 را محاسبه کنید.,MATH,Geometry,12,
"یک مثلث قائم الزاویه دارای اضلاع به طول های 7, 24, 25 واحد می باشد. یک مثلث دیگر با مثلث اول همنهشت است و دارای وتر به طول 100 واحد می باشد. طول کوتاه ترین ضلع مثلث دوم را برحسب واحد بدست آورید.",MATH,Geometry,28,
تابلوهای مجوز در ایالت جدید تأسیس شده آتلانتیس از سه حرف و سپس سه رقم تشکیل شده‌اند. چند تابلوی مجوز ممکن وجود دارد؟,MATH,Counting_and_Probability,864000,
آدریان بدون نگاه کردن به برچسب‌ها، چهار حلقه CD را در چهار جعبه قرار داد. احتمال این که دقیقاً دو CD از آن‌ها در جعبه‌های اشتباه قرار دارند چیست؟ پاسخ خود را به عنوان کسری عادی بیان کنید.,MATH,Counting_and_Probability,1/4,
