prompt,response,predicted_labels,actual_labels
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<توهم خیانت همسر، یکی از آزاردهنده ترین مسائلی است که می‌تواند وجود داشته باشد تا اندازه‌ای که در بیشتر موارد، با از بین رفتن سلامت روان کار به از هم پاشیده شدن بنیان خانواده،  می‌انجامد.><sep><یکی از عوامل جدایی توهم خیانت همسر است.>
<برچسب>:
    ?
",ناشناخته,ناشناخته,تناظر
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<البته این جفت در وسط هر درگیری قرار می گیرند.><sep><این جفت در وسط درامی قرار میگیرند.>
<برچسب>:
    ?
",ناشناخته,ناشناخته,تناظر
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<به زودی آن را بخرید یا این فرصت را از دست بدهید.><sep><آن را نخرید ، چیزی را از دست نخواهید داد.>
<برچسب>:
    ?
",تناقض,تناقض,تناقض
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<کسائی از زمره موسیقیدانانی بود که کمتر حرف می‌زدند و بیشتر عمل می‌کردند.><sep><کسائی موسیقیدان متبحری بود>
<برچسب>:
    ?
",تناظر,تناظر,ناشناخته
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<(کوهن ۱۹۹۹) اگرچه بسیاری از ناظران این موضوع را به عنوان یک اقدام افراطی تلقی می کنند ، اما می تواند باعث کاهش هزینه ها و افزایش کارآیی شود.><sep><بسیاری از ناظران ، آن را اقدامی افراطی برای کاهش هزینه ها و افزایش بهره وری می دانند.>
<برچسب>:
    ?
",ناشناخته,ناشناخته,تناظر
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<آکادمی موسیقی نغمه نمایشنامه را در محل خود برگزار می‌کند.><sep><این نمایشنامه از در فاصله‌ی دو چهار‌راه مانده به آکادمی موسیقی نغمه برگزار خواهد شد.>
<برچسب>:
    ?
",ناشناخته,ناشناخته,تناقض
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<داوران در قضاوت امروز خود نيز بر طعم بهتر شراب های کاليفرنيای آمريکا، بخصوص پس از به اصطلاح کهنه شدن تاکيد گذاشتند.><sep><مدت نگه داری شراب های کالیفرنیا بر رای داوران تاثیری ندارد.>
<برچسب>:
    ?
",ناشناخته,ناشناخته,تناقض
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<فلایویل سبک فلایویل به طور مختصر یک دیسک فلزی است که به پیشرانه خودرو متصل است و ضمن انتقال نیرو، استارتر به میل‌لنگ به هنگام استارت زدن کمک می‌کند تا پیشرانه به صورت آرام و نرم کار کند.><sep><این قطعه در مقابل تغییر سرعت دوران و گشتاور‌های نامنظم مقاومت می‌کند و باعث یکنواخت نگه داشتن چرخش پیشرانه می‌شود.>
<برچسب>:
    ?
",ناشناخته,ناشناخته,تناظر
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<در حالی که احتمالاً صحیح است که دموکراسی ها معمولا به جنگ بروند (مگر اینکه مورد حمله قرار گیرند) ، اما گاهی اوقات آنها جزو اولین کشورهایی هستند که حمله می کنند.><sep><دموکراسی ها احتمالاً به جنگ نمی روند ، مگر اینکه کسی به آنها حمله کند>
<برچسب>:
    ?
",تناقض,تناقض,تناظر
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<اما دادستان که عاشق وطن بود پیشنهاد را نپذیرفت و در سال ۱۳۳۹ بعد از اخذ مدرک دکترا در ۲۶ سالگی به کشور بازگشت.><sep><پیشنهاد داده شده به دادستان، خارج از وطنش بود>
<برچسب>:
    ?
",ناشناخته,ناشناخته,تناظر
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<سرانجام او به سمت او برگشت.><sep><او به سمت او برگشت.>
<برچسب>:
    ?
",تناظر,تناظر,تناظر
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<به نظر می رسد جمعه یا شنبه بود.><sep><فکر کنم سه شنبه بود.>
<برچسب>:
    ?
",تناقض,تناقض,تناقض
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<آیا او نیز آنها را دارد><sep><او آنها را ندارد؟>
<برچسب>:
    ?
",تناقض,تناقض,تناقض
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<هنگامی که تاریکی می افتد ، آب در خلیج پر از میکروارگانیسم های درخشان می شود که هنگام تحریک براق می شوند.><sep><خلیج دیگر آب ندارد.>
<برچسب>:
    ?
",ناشناخته,ناشناخته,تناقض
