solution,bot_solution,evaluation
16,عدد بعدی در دنباله ی,{'accuracy': 0.0}
44,عدد بعدی در دنباله برابر با 4 است.,{'accuracy': 0.0}
25,عدد بعدی در دنباله برابر با 390625 است.,{'accuracy': 0.0}
1,تفاصل کوچک ترین و بزرگ ترین عدد در دنباله,{'accuracy': 0.0}
2,تفاصل کوچک ترین و بزرگ ترین عدد در دنباله برابر است با 4 و اختلاف این تفاصل با مقدار کوچک تر دو عدد دیگر برابر است با 3.,{'accuracy': 0.0}
5,پاسخ نهایی برابر است با 5.,{'accuracy': 1.0}
2,تفاصل کوچک ترین و بزرگ ترین عدد در دنباله,{'accuracy': 0.0}
1,تفاصل کوچک ترین و بزرگ ترین عدد در دنباله,{'accuracy': 0.0}
3,اختلاف این تفاضل از مقدار بزرگ ترین عدد دیگر و دو عدد دیگر برابر است با 2.,{'accuracy': 0.0}
4,-4,{'accuracy': 1.0}
9,-9,{'accuracy': 1.0}
3,-3,{'accuracy': 1.0}
2,2,{'accuracy': 1.0}
5,اختلاف تفاضل دو عدد باقی مانده در مجموعه برابر با 7 است.,{'accuracy': 0.0}
3,اختلاف تفاضل دو عدد باقی مانده در مجموعه، برابر با 3 است.,{'accuracy': 1.0}
3,عدد 3 فاصله کمتری با عدد پنجم (4) دارد.,{'accuracy': 0.0}
7,عدد 2 و عدد 6 فاصله کمتری با عدد پنجم (4) دارند.,{'accuracy': 0.0}
5,عدد 5 فاصله کمتری با عدد پنجم دارد.,{'accuracy': 1.0}
2,عدد 2 فاصله کمتری با عدد پنجم (2) دارد.,{'accuracy': 0.0}
2,عدد 7 فاصله کمتری با عدد پنجم (9) دارد.,{'accuracy': 0.0}
8,عدد 8 فاصله بیشتری از عدد پنجم (4) دارد.,{'accuracy': 0.0}
1,عدد 1 فاصله بیشتری با عدد پنجم (7) دارد.,{'accuracy': 0.0}
1,عدد 8 فاصله بیشتری با عدد پنجم (عدد 5) دارد.,{'accuracy': 0.0}
2,عدد 7 فاصله بیشتری با عدد پنجم دارد.,{'accuracy': 0.0}
9,عدد 1 فاصله بیشتری با عدد پنجم (9) دارد.,{'accuracy': 0.0}
2 مثلث,از تقاطع چهار خط,{'accuracy': 0.0}
3 تا,بزرگترین هرمی که می تواند به طور کامل در این استخر ساخته شود، دارای حجم 320 متر مکعب است. حداکثر تعداد هرم هایی که میتوان درون این استخر ساخت، برابر است با 3 هرم.,{'accuracy': 0.0}
4 واحد,مساحت مثلثی که از سه خط به معادله های,{'accuracy': 0.0}
36 کاغذ,در پایان، امیرحسین 4 تکه کاغذ روی میز شماره 4 دارد.,{'accuracy': 0.0}
2,شیب پرتو نور پس از دومین بازتاب برابر با -7 است.,{'accuracy': 0.0}
6,تعداد مکعب های مستطیلی متفاوت با حجم 30 سانتی متر مکعب برابر است با 1.,{'accuracy': 0.0}
14,حداقل چند عدد را قرمز کرده‌ایم؟ پاسخ: 100.,{'accuracy': 0.0}
7,مجموع امتیازات هر 4 تیم میتواند 210 عدد مختلف باشد.,{'accuracy': 0.0}
13/18,احتمال اینکه حاصل ضرب ارقام عدد دو رقمی زوج باشد برابر است با 1/10.,{'accuracy': 0.0}
28,نسیم حداکثر به 17 سوال پاسخ داده است.,{'accuracy': 0.0}
4,"تعداد کل پیشآمدها: 6
تعداد پیشآمدهایی که عدد 6 نمیاید: 5",{'accuracy': 0.0}
5,حداقل یک عدد را مریم حذف کرده است.,{'accuracy': 0.0}
15,بکا می تواند با استفاده از اعداد 2، 3 و 5 به 42 عدد متمایز برسد.,{'accuracy': 0.0}
68,عدد صحیح مورد نظر برابر با 68 است.,{'accuracy': 1.0}
8,دو شهر از هم 8 کیلومتر دور هستند.,{'accuracy': 1.0}
32,مقدار عبارت (4+12) - (4×12) برابر با -32 است.,{'accuracy': 0.0}
0.38,میانگین مصرف هفتگی شیرینی برای امریکایی ها حدوداً 28.48 پوند است.,{'accuracy': 0.0}
333,کوچکترین عدد سه‌رقمی به فرم aaa که بر 9 بخش پذیر است وجود ندارد.,{'accuracy': 0.0}
4:30,ساعت 6:30 بعد از ظهر,{'accuracy': 0.0}
20%,20% از جوراب‌های جینا قرمز هستند.,{'accuracy': 1.0}
7,تفاوت مثبت بین دو عدد دو به توان پنج و پنج به توان دو برابر است با 7.,{'accuracy': 1.0}
4,عددهای دو رقمی مثبت که حاصلضرب ارقام آنها برابر با 12 است، عبارتند از: 12، 21، 24، 42، 36 و 63.,{'accuracy': 0.0}
23,"کوچکترین عدد صحیح مثبتی که نسبت به حاصل ضرب اعداد صحیح مثبت 1 تا 20 اول میباشد، برابر است با:

2^4 * 3^2 * 5 * 7 * 11 * 13 * 17 * 19",{'accuracy': 0.0}
5999,تعداد اعداد چهاررقمی کمتر از 8000 و بزرگتر از 2000 برابر 6000 است.,{'accuracy': 0.0}
6,"اعدادی که شمارنده یا بخش پذیر بر 7 هستند عبارتند از: 7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84, 91

بنابراین، تعداد اعداد شمارنده یا بخش پذیر بر 7 برابر با 13 است.",{'accuracy': 0.0}
0.5,4/9,{'accuracy': 0.0}
10 درصد,درصد کاهش مساحت مربع برابر است با 10%.,{'accuracy': 1.0}
13 اینچ مربع,مساحت بخش قرمز برابر است با 13 اینچ مربع.,{'accuracy': 1.0}
3,فاصله‌ی چند اینچی در نقشه بین دو شهر که فاصله‌ی واقعی آن‌ها 120 مایل است، برابر است با 3 اینچ.,{'accuracy': 0.0}
36,مساحت دایره با دو برابر کردن شعاع به چهار برابر افزایش می‌یابد.,{'accuracy': 0.0}
6,"با حل معادلات زیر به پاسخ نهایی می‌رسیم:

(n-1) * n * (n+1) = 120
(n-1) * n * (n+1) / n = 24

با حل این دو معادله، مقدار n برابر با 5 خواهد بود. بنابراین، سه عدد صحیح متوالی به ترتیب 4، 5 و 6 هستند. بزرگترین عدد از این سه عدد صحیح متوالی برابر است با 6.

پاسخ نهایی: بزرگترین عدد از سه عدد صحیح متوالی 4، 5 و 6 برابر است با 6.",{'accuracy': 0.0}
42,محیط شش ضلعی منظم برابر با ۴۲ اینچ است.,{'accuracy': 0.0}
4,تعداد مقسوم علیه های صحیح عدد ۷ برابر با ۲ است.,{'accuracy': 0.0}
564,عدد 563.5097 به نزدیک ترین عدد صحیح برابر است با 564.,{'accuracy': 0.0}
162,تعداد عدد صحیح بین 99 و 999 که دقیقاً یک رقم 0 دارند برابر است با 9.,{'accuracy': 0.0}
66,تعداد صندلی های فرد در کلاس برابر با 60 است.,{'accuracy': 0.0}
6,تنها 2 عدد مربع کامل و فرد بین 5 و 211 وجود دارد.,{'accuracy': 0.0}
5040,تعداد تنظیم‌های مختلف برای رمز قفل چمدان برابر با 5040 است.,{'accuracy': 1.0}
5,چندجمله ای 2f(x) + 4g(x) از درجه 5 میباشد.,{'accuracy': 0.0}
8,آخرین عدد صحیح فرد برابر است با 2 و کوچکترین عدد زوج از این اعداد 2 است.,{'accuracy': 0.0}
10,مقدار 50% از 200% از عدد 10 برابر است با 10.,{'accuracy': 0.0}
4005,"عبارت 2003ام در دنباله اعداد فرد برابر است با:

1 + (2003-1) * 2 = 1 + 2002 * 2 = 1 + 4004 = 4005",{'accuracy': 0.0}
1023,"حاصلضرب این دو عدد فرد متوالی برابر است با:

64 × 66 = 4224",{'accuracy': 0.0}
10,امی از بتی 10 سیب بیشتر دارد.,{'accuracy': 1.0}
400,مساحت این مستطیل 625 سانتی متر مربع است.,{'accuracy': 0.0}
123,مقدار عبارت 123123 تقسیم بر 1001 برابر است با 122.,{'accuracy': 0.0}
0.17,ویلیام 1.33 مایل دویده است.,{'accuracy': 0.0}
350,مقدار عضو ششم دنباله برابر است با 320.,{'accuracy': 0.0}
600,مجموع اعداد جدید برابر با 600 است.,{'accuracy': 1.0}
8,فشار در کانتینر جدید برابر 8 کیلوپاسکال خواهد بود.,{'accuracy': 1.0}
8,کوچکترین عدد از مجموعه اعداد زوج برابر است با 68.,{'accuracy': 0.0}
2,f(x)g(x) تابعی زوج است. (2),{'accuracy': 1.0}
1,"بزرگترین مقدار ممکن برای میانگین حسابی اعداد برابر است با:

(M - 1) / n",{'accuracy': 1.0}
30,"مقدار f(12)−f(2) را محاسبه می‌کنیم:
f(12)−f(2) = 3(12)−3(2) = 36−6 = 30

پاسخ نهایی: 30",{'accuracy': 0.0}
18,یک منشور شش ضلعی یک هگزاگون است.,{'accuracy': 0.0}
54,مساحت مثلث جدید برابر با 54 است.,{'accuracy': 1.0}
24,تعداد ضلع های یک منشور هشت ضلعی برابر با 12 است.,{'accuracy': 0.0}
36,36,{'accuracy': 1.0}
6,"فاصله نقطه (3,4) و تصویر آن بر اساس محور x برابر با 8 است.",{'accuracy': 0.0}
100,"با حل معادله 4x = 5(180 - x)، مقدار x برابر 150 درجه است.

پاسخ: زاویه بزرگتر 150 درجه است.",{'accuracy': 0.0}
0.54,مساحت سطح مکعب برابر است با 0.0324 متر مربع.,{'accuracy': 0.0}
21,طول ضلع YZ برابر با 6 واحد است.,{'accuracy': 0.0}
70,زاویه ی B برابر با 100 درجه است.,{'accuracy': 0.0}
144,حجم آب موجود در استخر نیمه پر برابر است با 144 متر مکعب.,{'accuracy': 1.0}
3,شعاع کره برابر 3 است.,{'accuracy': 1.0}
126,زاویه‌ی AOB برابر با 27 درجه است.,{'accuracy': 0.0}
3,ارتفاع مخزن 3 متر است.,{'accuracy': 1.0}
8000,"اگر طول اضلاع مکعب را دو برابر کنیم، حجم مکعب جدید برابر است با 8 برابر حجم مکعب اولیه. بنابراین، حجم مکعب جدید برابر است با 8 ضرب حجم مکعب اولیه.

پاسخ نهایی: حجم مکعب جدید برابر است با 4800 اینچ مکعب.",{'accuracy': 0.0}
8918,اختلاف مثبت حجم مکعب دوم و حجم مکعب اول برابر است با 8918 سانتی متر مکعب.,{'accuracy': 1.0}
3600,حجم هرم با پایه ای که طول ضلع آن 20 متر است و ارتفاع آن 27 متر است، برابر است با 3600 متر مکعب.,{'accuracy': 0.0}
4,ارتفاع استوانه دوم برابر با 4 اینچ است.,{'accuracy': 1.0}
140,اندازه هر زاویه باز در این متوازی الاضلاع برابر با 140 درجه است.,{'accuracy': 1.0}
3,طول هر ضلع مکعب اکنون برابر است با جذر سوم از 19 سانتی متر.,{'accuracy': 0.0}
120,میانگین اندازه سه زاویه خارجی مثلث برابر با 120 درجه است.,{'accuracy': 1.0}
15,اندازه یک زاویه داخلی در یک هشت ضلعی منتظم بیشتر از اندازه یک زاویه داخلی در یک شش ضلعی منتظم است.,{'accuracy': 0.0}
31,بزرگترین مقدار ممکن برای محیط مثلث برابر است با 31 واحد.,{'accuracy': 1.0}
3,طول ضلع سوم برابر با 3 است.,{'accuracy': 1.0}
40,بزرگترین محیط ممکن برای این مثلث برابر با 35 سانتی‌متر است.,{'accuracy': 0.0}
12,مساحت مثلث با اضلاع 5، 5 و 6 برابر با 12 است.,{'accuracy': 0.0}
28,طول کوتاه‌ترین ضلع مثلث دوم حدوداً 99.75 واحد است.,{'accuracy': 0.0}
864000,تعداد تابلوهای مجوز ممکن برابر با 9 است.,{'accuracy': 0.0}
1/4,احتمال این که دقیقاً دو CD از آن‌ها در جعبه‌های اشتباه قرار دارند برابر است با 3/128.,{'accuracy': 0.0}
12,تعداد عدد سه رقمی هایی که شرایط مسئله را ارضا می کنند، برابر است با 16.,{'accuracy': 0.0}
380,تعداد راه‌های ممکن برای انتخاب یک رئیس جمهور و یک معاون جمهور در باشگاه ما برابر است با 361.,{'accuracy': 0.0}
7,تعداد اعداد اول کمتر از 100 که رقم یکان آن‌ها برابر با 3 است، 4 عدد است.,{'accuracy': 0.0}
14400,تعداد روش‌های قابل تشخیص برای نشستن اعضای هر حزب برابر است با 120.,{'accuracy': 0.0}
1000000,"مقدار عبارت 82^3 + 3(82^2)(18) + 3(82)(18^2) + 18^3 برابر است با (82 + 18)^3 که برابر است با 100^3.

پس پاسخ نهایی برابر است با 100^3 که برابر است با 1,000,000.",{'accuracy': 0.0}
70,تعداد روش‌های انتخاب 8 نفر از بین یک تیم 8 نفره برابر است با 1.,{'accuracy': 0.0}
31,"تعداد زیرمجموعه‌های غیرتهی از مجموعهٔ { 1 , 2, 3, 4, 5, 6, 7, 8, 9, 10, 11 } که تمامی اعضای آن اعداد اول هستند، برابر است با 16.",{'accuracy': 0.0}
120,تعداد راه‌های ممکن برای ترتیب دادن حروف کلمه ELEVEN برابر است با 24.,{'accuracy': 0.0}
5,تعداد روش های مختلف برای قرار دادن 8 کره قابل تمییز به دو قفسه قابل تمییز برابر با 256 است.,{'accuracy': 0.0}
5,تعداد جایگشت‌های مختلف از 4 توپ بدون توجه به ترتیب موجود برابر با 1 است.,{'accuracy': 0.0}
17/18,احتمال اینکه جمع دو عدد بین 3 تا 11 باشد برابر است با 1/4.,{'accuracy': 0.0}
1/20,احتمال اینکه دو تاس فرد، یکی را بیرون آورند برابر است با تعداد حالات مطلوب تقسیم بر تعداد کل حالات، یعنی 11/36.,{'accuracy': 0.0}
0.5,ارزش امیدریاضی برد ما پس از یک بار پرتاب سکه برابر است با ۱.,{'accuracy': 0.0}
11/36,احتمال اینکه حداقل یکی از تاس‌ها شماره 5 بیاید برابر با 11/36 است.,{'accuracy': 0.0}
37/819,"احتمال اینکه گروه چهار نفره حداقل دو نفر از سه تن اول دانش‌آموزان برتر جغرافیا را شامل شود، برابر است با:

احتمال = تعداد حالات ممکن برای انتخاب چهار نفر به شرط داده شده / تعداد کل حالات ممکن برای انتخاب چهار نفر

احتمال = 900 / 20475 ≈ 0.044",{'accuracy': 0.0}
243,تعداد روش‌های ممکن برای قرار دادن 5 توپ متمایز در 3 جعبه برابر است با 12.,{'accuracy': 0.0}
28,تومورا می‌تواند 56 پیتزا مختلف را سفارش دهد.,{'accuracy': 0.0}
45,عدد بعدی در ردیفی که با 1 و سپس 10 آغاز می‌شود، برابر است با 16.,{'accuracy': 0.0}
1963,تعداد عدد صحیح مثبت هایی که تعداد مقسوم علیه های آنها زوج است، برابر است با 1004.,{'accuracy': 0.0}
6720,"تعداد روش‌های مختلف برای ترتیب حروف کلمه ""PARABOLA"" برابر است با 5040.",{'accuracy': 0.0}
6,"تعداد حالات ممکن برای انداختن 6 تاس برابر است با 6^6 = 46656.

تعداد حالات ممکن برای اینکه حداکثر 4 بار نتیجه‌ی تاس‌ها عدد 1 باشد برابر است با:
(1 * 5^5) + (2 * 5^4) + (3 * 5^3) + (4 * 5^2) = 3125 + 500 + 75 + 20 = 4720.

بنابراین، احتمال اینکه حداکثر 4 بار نتیجه‌ی آن‌ها عدد 1 باشد برابر است با:
4720 / 46656 ≈ 0.101.",{'accuracy': 0.0}
3,عدد صحیح 256 دقیق است و معکوس آن نیز یک عدد صحیح است.,{'accuracy': 0.0}
110,"به منظور رسیدن به عدد 11!، باید عدد 9! را در 36,288,000 ضرب کنیم.",{'accuracy': 0.0}
48,تعداد طرق ممکن برای قرار دادن 6 توپ در راهنمایی‌ها برابر است با 6.,{'accuracy': 0.0}
1,احتمال اینکه ماشین حاصل از پرتاب نرمال تاس شش‌رو سوال بالا، حداکثر 4 بار سکه را با صورت یک انسان می‌آورد برابر است با 15/16.,{'accuracy': 0.0}
243,تعداد راه‌های مختلف قرار دادن 5 توپ متمایز در 3 جعبه متمایز برابر است با 5 * 3^4 = 405.,{'accuracy': 0.0}
36,تعداد روش‌های ممکن برای قرار دادن 4 توپ در 3 جعبه برابر با 12 است.,{'accuracy': 0.0}
4,برای چهار پرتقال، چهار راه برای تقسیم پرتقال وجود دارد.,{'accuracy': 0.0}
1/4,احتمال اینکه دقیقاً دو تاس یک یا دو بیاید برابر است با 24/36 که معادل است با 2/3.,{'accuracy': 0.0}
1275,مقدار عدد مثلثی پنجاهم برابر با 1 است.,{'accuracy': 0.0}
8.5,میانگین حاصل‌ضرب شماره‌گذاری‌شده‌ی دو کره برابر است با 1.,{'accuracy': 0.0}
11/850,احتمال این که همه سه کارت انتخاب شده کلوپ باشند، تقریبا 0.0129 است.,{'accuracy': 0.0}
280,تعداد روش‌های مختلفی که ماله می‌تواند این تخصیص را انجام دهد، برابر است با 280.,{'accuracy': 1.0}
12/25,احتمال اینکه لری پاندز در دو بار بازی پایه اول را بدست آورد، 0.0625 است.,{'accuracy': 0.0}
58500,می‌توان 260 پلاک خودرویی با این شرایط ایجاد کرد.,{'accuracy': 0.0}
1,باقی‌مانده هنگامی که دوبرابر عدد اولیه بر 5 تقسیم می‌شود، برابر با 1 است.,{'accuracy': 0.0}
16,تعداد مقسوم‌علیه‌های مشترک مثبت 840، 960 و 1200 برابر است با 15.,{'accuracy': 0.0}
12,بزرگترین مقسوم‌علیه‌ی مشترک 180 و 168 برابر با 12 است.,{'accuracy': 0.0}
7,در ابتدا، تعداد افراد Penteria برابر با 137 + 8 = 145 بوده‌اند.,{'accuracy': 0.0}
5,باقیمانده‌ی عدد 1529 به تقسیم 6 برابر با 5 است.,{'accuracy': 0.0}
18,عدد بزرگتر برابر با 81 است.,{'accuracy': 0.0}
