solution,bot_solution,evaluation
4005,2003,{'accuracy': 0.0}
1023,1023,{'accuracy': 1.0}
10,10,{'accuracy': 1.0}
400,400,{'accuracy': 1.0}
123,\(\frac{12}{1001}\),{'accuracy': 0.0}
0.17,0.1667,{'accuracy': 0.0}
350,575,{'accuracy': 0.0}
600,600,{'accuracy': 1.0}
8,8 کیلوپاسکال,{'accuracy': 1.0}
8,2,{'accuracy': 0.0}
2,2,{'accuracy': 1.0}
1,بی‌نهایت,{'accuracy': 0.0}
30,30,{'accuracy': 1.0}
18,6,{'accuracy': 0.0}
54,54,{'accuracy': 1.0}
24,یک منشور هشت ضلعی دارای ۸ ضلع است.,{'accuracy': 0.0}
36,36,{'accuracy': 1.0}
8,6,{'accuracy': 0.0}
100,100,{'accuracy': 1.0}
0.54,0.54,{'accuracy': 1.0}
21,21,{'accuracy': 1.0}
70,70,{'accuracy': 1.0}
144,144,{'accuracy': 1.0}
3,3,{'accuracy': 1.0}
126,27,{'accuracy': 0.0}
3,3,{'accuracy': 1.0}
8000,9600,{'accuracy': 0.0}
8918,8232,{'accuracy': 0.0}
3600,3600,{'accuracy': 1.0}
4,4,{'accuracy': 1.0}
140,40,{'accuracy': 0.0}
3,3.67,{'accuracy': 0.0}
120,120,{'accuracy': 1.0}
15,15,{'accuracy': 1.0}
31,30,{'accuracy': 0.0}
3,3,{'accuracy': 1.0}
40,35,{'accuracy': 0.0}
12,12,{'accuracy': 1.0}
28,6.72,{'accuracy': 0.0}
864000,2600,{'accuracy': 0.0}
1/4,3/128,{'accuracy': 0.0}
12,18,{'accuracy': 0.0}
380,100,{'accuracy': 0.0}
7,8,{'accuracy': 0.0}
14400,28800,{'accuracy': 0.0}
1000000,1000000,{'accuracy': 1.0}
70,1,{'accuracy': 0.0}
31,16,{'accuracy': 0.0}
120,360,{'accuracy': 0.0}
5,254,{'accuracy': 0.0}
5,24,{'accuracy': 0.0}
17/18,31/36,{'accuracy': 0.0}
1/20,1/4,{'accuracy': 0.0}
0.5,0.5,{'accuracy': 1.0}
11/36,11/36,{'accuracy': 1.0}
37/819,0.045,{'accuracy': 0.0}
243,32,{'accuracy': 0.0}
28,28,{'accuracy': 1.0}
45,45,{'accuracy': 1.0}
1963,تعداد عدد صحیح مثبت کوچکتر از 2008 که تعداد زوج مقسوم علیه های آنها را دارند، برابر است با تعداد اعداد زوج کوچکتر از 2008. برای محاسبه این تعداد، باید تعداد اعداد زوج کوچکتر از 2008 را محاسبه کنیم. تعداد اعداد زوج کوچکتر از 2008 برابر است با نصف تعداد اعداد صحیح مثبت کوچکتر از 2008. پس تعداد عدد های صحیح مثبت کوچکتر از 2008 که تعداد زوج مقسوم علیه های آنها را دارند، برابر است با 2008/2 = 1004.,{'accuracy': 0.0}
6720,3360,{'accuracy': 0.0}
6,30 / 6^5,{'accuracy': 0.0}
3,101,{'accuracy': 0.0}
110,10*11,{'accuracy': 0.0}
48,3^5 - 2^3 = 243 - 8 = 235,{'accuracy': 0.0}
1,15/16,{'accuracy': 0.0}
243,243,{'accuracy': 1.0}
36,1,{'accuracy': 0.0}
4,6,{'accuracy': 0.0}
1/4,73/36,{'accuracy': 0.0}
1275,عدد مثلثی پنجاهم برابر است با 1,{'accuracy': 0.0}
8.5,3.5,{'accuracy': 0.0}
11/850,1,{'accuracy': 0.0}
280,70,{'accuracy': 0.0}
12/25,0.0625,{'accuracy': 0.0}
58500,67600,{'accuracy': 0.0}
1,2k + 1,{'accuracy': 0.0}
16,15,{'accuracy': 0.0}
12,12,{'accuracy': 1.0}
7,103,{'accuracy': 0.0}
5,5,{'accuracy': 1.0}
18,16,{'accuracy': 0.0}
