,Unnamed: 0,question,correct_ans,model_ans,model_ans_one_shot,model_ans_three_shot,model_ans_farsiprompt_zero,model_ans_farsiprompt_one,model_ans_farsiprompt_three,model_ans_post_process,model_ans_one_shot_post_process,model_ans_three_shot_post_process,model_ans_farsiprompt_zero_post_process,model_ans_farsiprompt_one_post_process,model_ans_farsiprompt_three_post_process
10,10,کدام گزینه بزرگتر است؟ گزینه ها: ا) سه چهارم  ب) سه پنجم.,ا,ب,ب,ب,ب) سه پنجم.,ب) سه پنجم,ب) سه پنجم,ب,ب,ب,ب,ب,ب
11,11,می خواهیم ۶ بسته ی ۱۲ تایی مداد رنگی را بین ۹ نفر به طور مساوی تقسیم کنیم به هر کدام چند تا مداد میرسد؟ گزینه ها: ا)8 ب)11,ا,ب,ب,ب,ب) 11,ب) 11,ب) 11,ب,ب,ب,ب,ب,ب
12,12,با رقم های 5 ، 0 ، 2 ، 8 بزرگترین عدد چهار رقمی را بنویسید. گزینه ها: ا) 8888 ب)8520,ا,ا) 8888,ا,ب,ب) 8520,ا) 8888,ا,ا,ا,ا,ا,ا,ا
13,13,سه نقطه را با کلمات مناسب پر کن. مثلثی که 3 ضلع برابر دارد ... نام دارد . گزینه ها: ا) متساوی الاضلاع ب) متساوی الساقین,ا,ا,ا,ب) متساوی الاضلاع,ا) متساوی الاضلاع,ب) متساوی الساقین,ا,ا,ا,ا,ا,ا,ا
14,14,سه نقطه را با کلمات مناسب پر کن. احتمال پشت یا رو آمدن یک سکه ... است . گزینه ها: ا) یک دوم ب) دو,ا,ا,ب,ب,ب) دو,ب) دو,ب) دو,ب,ب,ب,ب,ب,ب
15,15,سه نقطه را با کلمات مناسب پر کن. دایره ... قطر دارد. گزینه ها: ا) بی نهایت ب) یک,ا,ب,ب,ب,ب) یک,`ب`,ب) یک,ب,ب,ب,ب,ب,ب
16,16,اگر رقم یکان 78 را به 2 تبدیل کنیم به چه عددی می رسیم؟ گزینه ها: ا) 72 ب ) 28,ا,ب,ب,ب,ب) 28,ب) 28,ب,ب,ب,ب,ب,ب,ب
17,17,مربعی داریم به ضلع 8 سانتی متر ، محیط مربع را حساب کنید ؟ گزینه ها:  ا) 64 ب) 32,ب,ب,ب,ب,ب) 32,ب) 32,ب,ب,ب,ب,ب,ب,ب
18,18,سه نقطه را با کلمات مناسب پر کن. 4 بسنه ی 12 تایی مداد را بین 5 نفر به صورت مساوی تقسیم کرده ایم .  به هر نفر ... مداد می رسد و 3 مداد باقی می ماند. گزینه ها: ا) 9 ب) 3,ا,ب,ب,ب,ب) 3,`ب`,ب) 3,ب,ب,ب,ب,ب,ب
19,19, محیط مثلث متساوی الاضلاعی 27 سانتی متر  است . اندازه یک ضلع آن را حساب کنید. گزینه ها: ا) 7 ب) 9,ب,ب,ب,ب,ب) 9,ب) 9,ب,ب,ب,ب,ب,ب,ب
20,20,سن سارا ۳۰ سال است اگر سن برادرش ۶ سال باشد سن سارا چند برابر برادرش است؟ گزینه ها: ا) پنج برابر ب) شش برابر,ا,ب) شش برابر,ب,ب,ب) شش برابر,ب) شش برابر,ب) شش برابر,ب,ب,ب,ب,ب,ب
21,21,باغچه ای به شکل مستطیل به طول ۸ و عرض ۵ داریم میخواهیم دور تا دور آن نرده بکشیم. برای دور تا دور آن به چند متر نرده نیاز داریم؟ گزینه ها: ا) 40 ب)26,ب,ا) 40,ب,ب,ب) 26,ب) 26,ب) 26,ب,ب,ب,ب,ب,ب
22,22,یک دستگاه جوراب بافی در هر ساعت ۳۵ جفت جوراب میبافد این دستگاه در ۸ ساعت چند جفت جوراب میبافد؟ گزینه ها: ا) 240 ب ) 280,ب,ب) 280,ب,ب,ب) 280,ب) 280,ب,ب,ب,ب,ب,ب,ب
23,23,در عدد 1372 بزرگترین رقم در چه مرتبه ای قرار دارد؟ گزینه ها: ا) دهگان ب) صدگان,ا,ب,ب,ب,ب) صدگان,ب) صدگان,ب) صدگان,ب,ب,ب,ب,ب,ب
24,24,علی 23 تا کتاب دارد. 12 تا از آن ها کتاب داستان و بقیه کتاب علمی است. علی چندکتاب علمی دارد ؟ گزینه ها: ا) 8 ب) 11,ب,ب,ب,ب,ب) 11,ب) 11,ب) 11,ب,ب,ب,ب,ب,ب
25,25,با رقم های 2،0،3 عدد سه رقمی بنویس که یکان آن 0 باشد. گزینه ها: ا) 203 ب) 230,ب,ب) 230,ب,ب,ب) 230,`ب`,ب,ب,ب,ب,ب,ب,ب
26,26,چه عددی را با 17 جمع کنیم که جواب 51 شود؟ گزینه ها: ا)34 ب)24,ا,ب) 24,ب,ب,ب) 24,ب) 34,ب) 24,ب,ب,ب,ب,ب,ب
27,27,مقدار 35 متر چند سانتی متر است؟ گزینه ها: ا) 35000 ب) 3500,ب,ب,ب,ب,ب) 3500,`ب`,ب) 3500,ب,ب,ب,ب,ب,ب
28,28,از میان دو عدد 60 و 25 کدامیک همزمان بر اعداد 2و3و5 بخش پذیر است؟ گزینه ها: ا) 60 ب)25,ا,ا,ب,ب,ب) 25,ا) 60,ب,ب,ب,ب,ب,ب,ب
29,29,احتمال زوج آمدن یک تاس چیست؟ گزینه ها: ا) یک دوم ب) یک ششم,ا,ب,ب,ب,ب) یک ششم,ب) یک ششم,ب) یک ششم,ب,ب,ب,ب,ب,ب
30,30,اگر 4.6 را گرد کنیم به چه عددی می رسیم؟ گزینه ها: ا) 4 ب)5,ب,ب,ب,ب,ب) 5,`ب`,ب) 5,ب,ب,ب,ب,ب,ب
31,31,یک ربع بعد از ساعت هفت و ربع چه ساعتی است؟ گزینه ها: ا) هفت ب) هفت و نیم,ب,ب,ب,ب,ب) هفت و نیم,ب) هفت و نیم,ب) هفت و نیم,ب,ب,ب,ب,ب,ب
32,32,یک کتاب 65 صفحه دارد . علی 20 صفحه را هفته ی قبل خوانده بود .این هفته او 35 صفحه ی دیگر را خواند . چند صفحه از کتاب باقی مانده است ؟  گزینه ها: ا) 10 ب) 20,ا,ا) 10,ب,ب,ب) 20,ب) 10,ب,ب,ب,ب,ب,ب,ب
33,33,معین یک کیسه ی آجیل دارد که شامل 80 بادام،  60 پسته و 100 تخمه کدو است .اگر معین بخواهد از کیسه ، بادام در بیاورد احتمال آن چقدر است؟ گزینه ها: ا) یک دوم ب) یک سوم,ب,ب) یک سوم,ب,ب,ب) یک سوم,ب) یک سوم,ب,ب,ب,ب,ب,ب,ب
34,34, هر ساعت چند تا یک ربع دارد؟ گزینه ها: ا) چهار ب) دوازده,ا,ب,ب,ب,ب) دوازده,ب) دوازده,ب) دوازده,ب,ب,ب,ب,ب,ب
35,35, کدام عدد زوج نیست؟ گزینه ها:  ا)452  ب)709           ,ب,ب,ب,ب,ب) 709,ب) 709,ب) 709,ب,ب,ب,ب,ب,ب
36,36,در یک مزرعه روی هم 7 اردک و گوسفند وجود دارد. اگر تعداد پاهای آنها روی هم 20 تا باشد، چند گوسفند در این مزرعه وجود داد؟ گزینه ها: ا) 3 یا 4 ب) 4 یا 5,ا,ب) 4 یا 5,ب,ب,ب) 4 یا 5,ب) 4 یا 5,ب) 4 یا 5,ب,ب,ب,ب,ب,ب
37,37,با رقم های 5 ، 0 ، 2 ، 8 کوچک ترین عدد چهار رقمی را بنویسید. گزینه ها: ا) 0000 ب)2058,ب,ب) 2058,ب,ب,ب) 2058,`ب`,ب) 2058,ب,ب,ب,ب,ب,ب
38,38,با رقم های 5 ، 0 ، 2 ، 8 بزرگترین و کوچک ترین عدد چهار رقمی را بنویسید و اختلاف آن ها چیست؟ گزینه ها: ا) 8500 ب) 6462,ب,ب) 6462,ا,ب,ب) 6462,`ب`,ا,ا,ا,ا,ا,ا,ا
39,39,سه نقطه را با کلمات مناسب پر کن. 4 بسنه ی 12 تایی مداد را بین 5 نفر به صورت مساوی تقسیم کرده ایم .  به هر نفر 9 مداد می رسد و ... مداد باقی می ماند. گزینه ها: ا) 4 ب)3,ب,ب,ب,ب,ب) 3,ب) 3,ب) 3,ب,ب,ب,ب,ب,ب
40,40,سه نقطه را با کلمات مناسب پر کن. مثلثی که 2 ضلع برابر دارد ... نام دارد . گزینه ها: ا) متساوی الاضلاع ب) متساوی الساقین,ب,ب,ب,ب) متساوی الساقین,ب) متساوی الساقین,ب) متساوی الساقین,ب) متساوی الساقین,ب,ب,ب,ب,ب,ب
41,41,در یک مزرعه روی هم 7 اردک و گوسفند وجود دارد. اگر تعداد پاهای آنها روی هم 20 تا باشد، چند اردک در این مزرعه وجود داد؟ گزینه ها: ا) 3 یا 4 ب) 4 یا 5,ا,ب) 4 یا 5,ب,ب,ب) 4 یا 5,ب) 4 یا 5,ب) 4 یا 5,ب,ب,ب,ب,ب,ب
42,42, کدام عدد زوج است؟ گزینه ها:  ا)752  ب)887  ,ا,ا,ا,ا,ا)752,ب) 887,ا,ا,ا,ا,ا,ا,ا
43,43,سه نقطه را با کلمات مناسب پر کن. مستطیل ...قطر دارد. گزینه ها: ا) چهار ب) دو,ب,ب,ب,ب,ب) دو,ب) دو,ب) دو,ب,ب,ب,ب,ب,ب
44,44,مربعی داریم به ضلع 8 سانتی متر ، مساحت مربع را حساب کنید ؟ گزینه ها: ا) 64 ب) 32,ا,ا) 64,ا,ب,ب) 32,ا,ب) 32,ب,ب,ب,ب,ب,ب
45,45,با رقم های 2،0،3 عدد سه رقمی بنویس که یکان آن 0 باشد. گزینه ها: ا) 302 ب) 320,ب,ب) 320,ب,ب,ب) 320,`ب`,ب) 320,ب,ب,ب,ب,ب,ب
46,46,یک دستگاه جوراب بافی در هر ساعت 25 جفت جوراب میبافد این دستگاه در ۸ ساعت چند جفت جوراب میبافد؟ گزینه ها: ا) 400 ب ) 200,ب,ب) 200,ا,ب,ب) 200,ب) 200,ب,ب,ب,ب,ب,ب,ب
47,47,اگر 3.5 را گرد کنیم به چه عددی می رسیم؟ گزینه ها: ا) 3 ب)4,ب,ب,ب,ب,ب) 4,ب) 4,ب) 4,ب,ب,ب,ب,ب,ب
48,48,عدد 4 از 5/4 کوچکتر است. گزینه ها: ا)درست است  ب)غلط است.,ب,ب) غلط است,ب,ب,ب) غلط است,ب) غلط است,ب) غلط است,ب,ب,ب,ب,ب,ب
49,49,عدد 3/4 از 3/8 کوچکتر است. گزینه ها: ا)درست است  ب)غلط است.,ب,ب) غلط است,ب,ب,ب) غلط است,`ب`,ب,ب,ب,ب,ب,ب,ب
